program_id,title,provider,target_audience,program_type,created_at,modified_at,start_date,end_date,related_major,price,image_url,eligible_region,venue_region,operate_cycle
20,"조향사 진로직업체험, 나만의 향기로 향수제작",오인트(충남금산센터),초 중 고,직업실무체험형,46:38.2,46:38.2,2025-08-01,2035-12-31,화학공학 기술자 및 연구원,20000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250822&physical=46011BE30C824BB8B92F259024F66E54.png,전국,체험처,월화수목금
21,MK파네토네,베이킹온미,초,직업실무체험형,46:38.2,46:38.2,2025-08-01,2031-08-31,주방장 및 요리 연구가,30000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250822&physical=2E5755DCBD8B452DB3E27CC133A13F81.jpg,전국,체험처,월화수목금토
22,비누를 활용한 솝아티스트 체험,아프릴레공방,초 중 고,직업실무체험형,46:38.2,46:38.2,2025-08-01,2026-12-31,제품 디자이너,15000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250822&physical=BE78561FAB164DA4954D462CBFD0F560.jpg,전국,학교,월화수목금토일
23,"조향사 직업체험, 나만의 향수 만들기 (금산 진로체험센터)",오인트,초 중 고,강연형,46:38.2,46:38.2,2025-09-10,2025-09-10,화학공학 기술자 및 연구원,20000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20240512&physical=D86614A9F1C44241BD0B432797C2D66A.jpg,전국,체험처,
24,"곰돌이, 토끼인형 만들기 (바느질)",퀼트의 미학,중,학과체험형,46:38.2,46:38.2,2025-09-01,2027-09-01,문예창작,20000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250822&physical=B06A15F05AA6441086B094170916DBA9.jpg,전국,학교,월화수목금
25,[찾아가는 진로직업 특강 '돈 만드는 사람들',한국조폐공사,중,강연형,46:38.2,46:38.2,2025-09-24,2025-09-24,제품 디자이너,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20211013&physical=8435D26477644036A6ED104874919A60.jpg,전국,학교,
26,테마파크 현장 직무 견학 프로그램,롯데월드 어드벤처 부산,초 중,현장견학형,46:38.2,46:38.2,2025-09-24,2025-09-24,오락시설 서비스원,21000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20221107&physical=60541E47233542E8B29BDF5A292E1EA7.jpg,전국,체험처,
27,환경교육사와 함께하는 업싸이클링 북링 만들기,층층공방(용인/용인센터 /0522),초 중 고,직업실무체험형,46:38.2,46:38.2,2025-09-01,2025-12-31,제품 디자이너,15000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250821&physical=4D71862AE5364CE5916AF26AA0D2BBF8.jpg,전국,학교,월화수목금
28,흙으로 만드는 아름다운 세상(핸드페인팅),양주도자기나라,초,현장직업체험형,46:38.2,46:38.2,2025-08-25,2035-12-31,제품 디자이너,20000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250821&physical=F07DE87D31164D0FA503A0DE183ED980.jpg,전국,학교,월화수금
29,흙으로 만드는 아름다운 세상(수작업),양주도자기나라,초,현장직업체험형,46:38.2,46:38.2,2025-08-25,2035-08-31,제품 디자이너,20000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250821&physical=302C97E2B4B349B5B1912EEB2C29A448.jpg,전국,학교,월화수목금토
30,환경교육사와 함께하는 업싸이클링 클립 홀더 만들기,층층공방(용인/용인센터 /0522),초 중 고,현장직업체험형,46:38.2,46:38.2,2025-09-01,2025-12-31,제품 디자이너,15000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250821&physical=E532B1EAF1724DDD938FA6CE5BE7717E.jpg,전국,학교,월화수목금
31,목재교육전문가와 함께하는 업싸이클링 미니화분 만들기,층층공방(용인/용인센터 /0522),초 중 고,직업실무체험형,46:38.2,46:38.2,2025-08-01,2025-12-31,제품 디자이너,15000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250821&physical=3261C99CAAD84FC7B73B6021A027F52C.jpg,전국,학교,월화수목금
32,[찾아가는 미술관] - 나만의 이니셜 모자 DIY,드림톡톡어린이미술관,초 중,직업실무체험형,46:38.2,46:38.2,2025-08-25,2027-12-31,예술·디자인·방송·스포츠직,15000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250821&physical=7A923017099B48A490FB79C9B665F666.jpg,전국,학교,월화수목금
33,향기로 알아보는 성격이해 및 직업체험 [ MBTI 조향체험 ],(주)몽가타,초 중 고,학과체험형,46:38.2,46:38.2,2025-07-01,2032-12-31,기타화학,25000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250820&physical=09AE3BF0BEE7496E95AC1F47A5668B67.jpg,전국,학교,월화수목금토일
34,나만의 수제도장 만들기,아트.애현,중,현장견학형,46:38.2,46:38.2,2025-09-10,2025-09-10,시각 디자이너,15000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250820&physical=FE05B3B3257E4961B7436A1A2FB7FAED.jpeg,전국,체험처,
35,원예치료사(치유농업사) 진로체험,골망태 요리사의 정원,초 중 고,현장직업체험형,46:38.2,46:38.2,2025-08-20,2036-12-31,조경원,30000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20230704&physical=007635E3BBEC49B8B05F00860D027A31.jpg,전국,체험처,월화수목금
36,메이크업 직업실무체험,리메디뷰티아카데미(평생교육원),초 중 고,직업실무체험형,46:38.2,46:38.2,2025-08-19,2029-08-31,메이크업 아티스트 및 분장사,10000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250819&physical=7A7D35088EE24D6F9CBF64C0C38CB5A4.jpg,전국,체험처,월화수목
37,메이크업 현장직업체험,리메디뷰티아카데미(평생교육원),초 중 고,현장직업체험형,46:38.2,46:38.2,2025-08-19,2029-08-31,메이크업 아티스트 및 분장사,10000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250819&physical=091547024C4F4FF098DE5AC515BD148B.jpg,전국,체험처,월화수목금
38,꿈을 잇는 박물관,경기대학교소성박물관,중,현장직업체험형,46:38.2,46:38.2,2025-09-15,2025-11-28,학예사 및 문화재 보존원,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250819&physical=C915CA88C6A24DAE99D66E4AE8B540D4.jpg,전국,체험처,월화수목금
39,피부미용 직업실무체험,카에네 에스테틱,초 중 고,직업실무체험형,46:38.2,46:38.2,2025-08-19,2029-08-31,피부 및 체형 관리사,10000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250825&physical=7A8F6E256830480D99C3BC0F9F68AE5B.jpg,전국,체험처,월화수목금
40,피부미용 현장직업체험,카에네 에스테틱,초 중 고,현장직업체험형,46:38.2,46:38.2,2025-08-19,2029-08-31,피부 및 체형 관리사,10000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250821&physical=E3BA040250544285BCB2BE7785A59E58.jpg,전국,체험처,월화수목금
41,떡공예지도사 (한입 꽃 떡 만들기),송이앙플(송이앙금플라워케이크),초 중 고,직업실무체험형,46:38.2,46:38.2,2025-09-01,2030-08-31,기타 조리사,17000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250819&physical=0CC2AE10B56749A381AFE6E3DDF8D9D3.jpg,전국,체험처,월화수목금토일
42,[중학교 1-3학년 추천] 에너지 교육 자료,한국에너지정보문화재단 에너지정보관,중,대화형,46:38.2,46:38.2,2025-08-26,2025-12-31,에너지·환경공학 기술자 및 시험원,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250819&physical=4A4EEA7DBB3D4E878D6BF8526BAA213A.jpg,전국,학교,월화수목금
43,[초등학교 5-6학년 추천] 에너지 교육 자료,한국에너지정보문화재단 에너지정보관,초,대화형,46:38.2,46:38.2,2025-08-26,2025-12-31,에너지·환경공학 기술자 및 시험원,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250819&physical=D09C72BB8A7F409BBFAA6588AEEF2D67.jpg,전국,학교,월화수목금
44,[초등학교 3-4학년 추천] 에너지 교육 자료,한국에너지정보문화재단 에너지정보관,초,대화형,46:38.2,46:38.2,2025-08-26,2025-12-31,에너지·환경공학 기술자 및 시험원,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250819&physical=4733E93BB86D42E29696F989F2E581FF.jpg,전국,학교,월화수목금
45,"2025 지상軍 페스티벌(장비 전시 및 탑승, 에어쇼, 전투식량 시식 등)",육군본부(5019부대),초 중 고,현장견학형,46:38.2,46:38.2,2025-09-17,2025-09-21,군인,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=E27C987579DC49A78456F6ECF5C97A05.jpg,전국,체험처,수목금토일
46,2025 신나는과학party,신나는과학실험나나스,초,직업실무체험형,46:38.2,46:38.2,2025-08-01,2026-12-31,생명과학 연구원,30000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=8A95B74C232C45B6A8D1F7D49E32C74E.jpg,전국,체험처,월화수목금토일
47,미생물의 활용! 똥이 약이다!,신나는과학실험나나스,고,직업실무체험형,46:38.2,46:38.2,2025-08-01,2026-12-31,자연과학 연구원,30000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=D8154E8627A947838722A635ACE90B6F.jpg,전국,체험처,월화수목금토일
48,교과연계: 중학생을위한 6가지 화학실험,신나는과학실험나나스,중,직업실무체험형,46:38.2,46:38.2,2025-08-01,2026-12-31,자연과학 연구원,30000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=F72E19AC847D45C48CD61608D705D27C.png,전국,학교,월화수목금토일
49,생태환경: 생명공학자의 식물도감(학교로찾아가는수업),신나는과학실험나나스,중,직업실무체험형,46:38.2,46:38.2,2025-08-01,2026-12-31,자연과학 연구원,30000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=8AFE63349F5B4C3880E779C27C5E04AE.jpg,전국,학교,월화수목금토일
50,생태환경: 생명공학자의 식물도감(체험처로찾아오는수업),신나는과학실험나나스,중,직업실무체험형,46:38.2,46:38.2,2025-08-01,2026-12-31,생명과학 연구원,30000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=401CA9DCB113449E8F96CB57BEAD3CA9.jpg,전국,체험처,월화수목금토일
51,청소년 웹툰 일일 클래스,웹투니스트라이프,초 중 고,직업실무체험형,46:38.2,46:38.2,2025-01-01,2035-12-31,만화가 및 만화영화 작가,80000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=0FCC7082A7834F5C9B0BFB0A8ABF022A.jpg,전국,학교,월화수목금토일
52,석학들이 전국 학교로 직접 찾아가는 <드림렉쳐: 너만의 꿈을 키워라!>,한국고등교육재단,고,강연형,46:38.2,46:38.2,2025-09-15,2025-12-20,대학 교수,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=79185F8330114979B2D94B2D26E1F960.png,전국,학교,월화수목금
53,(학교방문)나만의 도자기와 캘리그라피,행복한공방(구 행복한도자기공방),초 중 고,현장직업체험형,46:38.2,46:38.2,2025-08-01,2035-12-31,공예원,25000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20200217&physical=DCB6DBB45D914253ABAA94C1EDFD6F4D.jpg,전국,학교,월화수목금
54,피부미용사 체험,계쌤메디뷰티아카데미,중,현장직업체험형,46:38.2,46:38.2,2025-08-01,2026-12-31,메이크업 아티스트 및 분장사,10000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=9C15E591D4B64F14956A0A3CC85A513A.png,전국,체험처,월화수목금
55,(댄서 및 관련직) 무빙! 댄싱! 브레이킹!!,사단법인 나인티,초 중 고,강연형,46:38.2,46:38.2,2025-09-01,2025-12-31,무용가 및 안무가,15000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=E36F5085E653468BB11936CFD2D0EE19.PNG,전국,학교,월화수목금
56,"카페베이커리과-고딩이지만, 카페사장입니다?! (최신유행 카페 디저트 제조) [직업위탁교육 사전체험]",은평문화예술정보학교,고,학과체험형,46:38.2,46:38.2,2025-09-11,2025-09-11,주방장 및 조리사,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=C5E3EE19ACB74A0BBB960984AC66243C.jpg,"서울특별시 강남구, 서울특별시 강동구, 서울특별시 강북구, 서울특별시 강서구, 서울특별시 관악구, 서울특별시 광진구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 노원구, 서울특별시 도봉구, 서울특별시 동대문구, 서울특별시 동작구, 서울특별시 마포구, 서울특별시 서대문구, 서울특별시 서초구, 서울특별시 성동구, 서울특별시 성북구, 서울특별시 송파구, 서울특별시 양천구, 서울특별시 영등포구, 서울특별시 용산구, 서울특별시 은평구, 서울특별시 종로구, 서울특별시 중구, 서울특별시 중랑구",체험처,
57,호텔조리과-요리킹! 조리킹! (함박스테이크와 토마토파스타) [직업위탁교육 사전체험],은평문화예술정보학교,고,학과체험형,46:38.2,46:38.2,2025-09-11,2025-09-11,주방장 및 조리사,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=2A43B0BC4627493DBB381FB753BEF03D.jpg,"서울특별시 강남구, 서울특별시 강동구, 서울특별시 강북구, 서울특별시 강서구, 서울특별시 관악구, 서울특별시 광진구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 노원구, 서울특별시 도봉구, 서울특별시 동대문구, 서울특별시 동작구, 서울특별시 마포구, 서울특별시 서대문구, 서울특별시 서초구, 서울특별시 성동구, 서울특별시 성북구, 서울특별시 송파구, 서울특별시 양천구, 서울특별시 영등포구, 서울특별시 용산구, 서울특별시 은평구, 서울특별시 종로구, 서울특별시 중구, 서울특별시 중랑구",체험처,
58,"뷰티메이크업과-나만의 향! 나만의 컬러! (고체 향수 만들기, 네일아트) [직업위탁교육 사전체험]",은평문화예술정보학교,고,학과체험형,46:38.2,46:38.2,2025-09-11,2025-09-11,미용사,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=040021C517274E349EB9E481BBCD21D5.JPG,"서울특별시 강남구, 서울특별시 강동구, 서울특별시 강북구, 서울특별시 강서구, 서울특별시 관악구, 서울특별시 광진구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 노원구, 서울특별시 도봉구, 서울특별시 동대문구, 서울특별시 동작구, 서울특별시 마포구, 서울특별시 서대문구, 서울특별시 서초구, 서울특별시 성동구, 서울특별시 성북구, 서울특별시 송파구, 서울특별시 양천구, 서울특별시 영등포구, 서울특별시 용산구, 서울특별시 은평구, 서울특별시 종로구, 서울특별시 중구, 서울특별시 중랑구",체험처,
59,헤어디자인과-꾸안꾸 헤어스타일링! 훈남/훈녀 변신 & 시그니처 헤어오일 DIY class [직업위탁교육 사전체험],은평문화예술정보학교,고,학과체험형,46:38.2,46:38.2,2025-09-11,2025-09-11,미용사,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=F34F3DCA711842F4973D18EFC26BF566.JPG,"서울특별시 강남구, 서울특별시 강동구, 서울특별시 강북구, 서울특별시 강서구, 서울특별시 관악구, 서울특별시 광진구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 노원구, 서울특별시 도봉구, 서울특별시 동대문구, 서울특별시 동작구, 서울특별시 마포구, 서울특별시 서대문구, 서울특별시 서초구, 서울특별시 성동구, 서울특별시 성북구, 서울특별시 송파구, 서울특별시 양천구, 서울특별시 영등포구, 서울특별시 용산구, 서울특별시 은평구, 서울특별시 종로구, 서울특별시 중구, 서울특별시 중랑구",체험처,
60,반려동물케어&카페과-반려동물 행동교정실습 및 반려동물 간식 만들기(연어키쉬) [직업위탁교육 사전체험],은평문화예술정보학교,고,학과체험형,46:38.2,46:38.2,2025-09-11,2025-09-11,반려동물 미용 및 관리 종사원,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=271DEB7D6AA34B68AC8F8034BF69C134.jpg,"서울특별시 강남구, 서울특별시 강동구, 서울특별시 강북구, 서울특별시 강서구, 서울특별시 관악구, 서울특별시 광진구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 노원구, 서울특별시 도봉구, 서울특별시 동대문구, 서울특별시 동작구, 서울특별시 마포구, 서울특별시 서대문구, 서울특별시 서초구, 서울특별시 성동구, 서울특별시 성북구, 서울특별시 송파구, 서울특별시 양천구, 서울특별시 영등포구, 서울특별시 용산구, 서울특별시 은평구, 서울특별시 종로구, 서울특별시 중구, 서울특별시 중랑구",체험처,
61,"스포츠지도과-미리 떠나는 슬기로운 체육대학생활 (스포츠 종목체험 및 체성분 분석, 진로컨설팅) [직업위탁교육 사전체험]",은평문화예술정보학교,고,학과체험형,46:38.2,46:38.2,2025-09-11,2025-09-11,스포츠교육,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=398AD72686414A7E9253293D021422E8.jpg,"서울특별시 강남구, 서울특별시 강동구, 서울특별시 강북구, 서울특별시 강서구, 서울특별시 관악구, 서울특별시 광진구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 노원구, 서울특별시 도봉구, 서울특별시 동대문구, 서울특별시 동작구, 서울특별시 마포구, 서울특별시 서대문구, 서울특별시 서초구, 서울특별시 성동구, 서울특별시 성북구, 서울특별시 송파구, 서울특별시 양천구, 서울특별시 영등포구, 서울특별시 용산구, 서울특별시 은평구, 서울특별시 종로구, 서울특별시 중구, 서울특별시 중랑구",체험처,
62,건축인테리어과-창의력 대폭발! 스케치업 쉽고 재미있게 배우는 3D 실내 모델링 투시도 그리기 [직업위탁교육 사전체험],은평문화예술정보학교,고,학과체험형,46:38.2,46:38.2,2025-09-11,2025-09-11,건축계획/설계,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=F01E8C004D824D1DAF36B853DBFE4122.jpg,"서울특별시 강남구, 서울특별시 강동구, 서울특별시 강북구, 서울특별시 강서구, 서울특별시 관악구, 서울특별시 광진구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 노원구, 서울특별시 도봉구, 서울특별시 동대문구, 서울특별시 동작구, 서울특별시 마포구, 서울특별시 서대문구, 서울특별시 서초구, 서울특별시 성동구, 서울특별시 성북구, 서울특별시 송파구, 서울특별시 양천구, 서울특별시 영등포구, 서울특별시 용산구, 서울특별시 은평구, 서울특별시 종로구, 서울특별시 중구, 서울특별시 중랑구",체험처,
63,게임프로그래밍과-쳇 GPT를 활용한 누구나 쉽게 따라하는 게임 개발 체험 [직업위탁교육 사전체험],은평문화예술정보학교,고,학과체험형,46:38.2,46:38.2,2025-09-11,2025-09-11,시스템 소프트웨어 개발자,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250818&physical=728C9EF8529B41D6B0122FFD91722AB4.png,"서울특별시 강남구, 서울특별시 강동구, 서울특별시 강북구, 서울특별시 강서구, 서울특별시 관악구, 서울특별시 광진구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 노원구, 서울특별시 도봉구, 서울특별시 동대문구, 서울특별시 동작구, 서울특별시 마포구, 서울특별시 서대문구, 서울특별시 서초구, 서울특별시 성동구, 서울특별시 성북구, 서울특별시 송파구, 서울특별시 양천구, 서울특별시 영등포구, 서울특별시 용산구, 서울특별시 은평구, 서울특별시 종로구, 서울특별시 중구, 서울특별시 중랑구",체험처,
64,2025-2서울 직업계고 진로체험관 (송곡관광고등학교),송곡관광고등학교,중,직업실무체험형,46:38.2,46:38.2,2025-09-06,2025-09-06,음식 서비스직,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250702&physical=CA15FCD7F54D4EBFAC449F5AB1695BFE.png,"서울특별시 강남구, 서울특별시 강동구, 서울특별시 강북구, 서울특별시 강서구, 서울특별시 관악구, 서울특별시 광진구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 노원구, 서울특별시 도봉구, 서울특별시 동대문구, 서울특별시 동작구, 서울특별시 마포구, 서울특별시 서대문구, 서울특별시 서초구, 서울특별시 성동구, 서울특별시 성북구, 서울특별시 송파구, 서울특별시 양천구, 서울특별시 영등포구, 서울특별시 용산구, 서울특별시 은평구, 서울특별시 종로구, 서울특별시 중구, 서울특별시 중랑구",학교,토수
